,pos_probs,neg_probs,labels
0,0.004217085894197226,0.9957829713821411,0
1,0.8753848075866699,0.1246151328086853,1
2,0.5153712034225464,0.4846287965774536,0
3,0.996382474899292,0.0036174962297081947,1
4,0.3642227351665497,0.6357772946357727,1
5,0.3473597466945648,0.6526402235031128,0
6,0.9432954788208008,0.05670447275042534,1
7,0.9594163298606873,0.04058362543582916,1
8,0.43052130937576294,0.5694786906242371,1
9,0.06898049265146255,0.9310195446014404,0
10,0.16026446223258972,0.8397355675697327,1
11,0.00017817018670029938,0.9998218417167664,0
12,0.8557599186897278,0.1442400962114334,1
13,0.9635792970657349,0.036420732736587524,1
14,0.07070311158895493,0.9292969107627869,0
15,0.11589644849300385,0.884103536605835,1
16,0.38155731558799744,0.618442714214325,0
17,0.42961788177490234,0.5703821182250977,1
18,0.20697586238384247,0.7930241823196411,1
19,0.79096919298172,0.2090308517217636,1
20,0.8356218338012695,0.16437819600105286,1
21,0.15069539844989777,0.8493046164512634,0
22,0.02916669473052025,0.9708333611488342,0
23,0.2693789005279541,0.7306210398674011,0
24,0.18842573463916779,0.8115742802619934,0
25,0.3720211386680603,0.6279788613319397,1
26,0.8198950886726379,0.18010494112968445,1
27,0.06133060157299042,0.9386694431304932,0
28,0.999014139175415,0.0009858297416940331,1
29,0.6914687752723694,0.3085312247276306,1
30,0.6781561374664307,0.32184383273124695,1
31,0.6745516657829285,0.32544830441474915,1
32,0.4703460931777954,0.5296539068222046,1
33,0.5235781073570251,0.47642195224761963,1
34,0.4072878360748291,0.5927121639251709,1
35,0.8228999376296997,0.1771000474691391,1
36,0.6478909254074097,0.3521091043949127,1
37,0.5671288371086121,0.4328711926937103,0
38,0.04256224259734154,0.9574377536773682,1
39,0.047590404748916626,0.9524096250534058,1
40,0.9879064559936523,0.01209353655576706,1
41,0.9317235350608826,0.06827641278505325,1
42,0.001600231509655714,0.9983997941017151,0
43,0.006474611349403858,0.9935253858566284,0
44,0.33174312114715576,0.6682568192481995,1
45,0.5183519721031189,0.4816479980945587,0
46,0.19977816939353943,0.800221860408783,1
47,0.9857184290885925,0.014281490817666054,1
48,0.34230777621269226,0.6576922535896301,1
49,0.9898239970207214,0.0101759759709239,1
50,0.9618211984634399,0.038178808987140656,1
51,0.9981955885887146,0.0018044079188257456,1
52,0.5217888355255127,0.4782111346721649,1
53,0.7492848634719849,0.25071513652801514,1
54,0.4989641308784485,0.5010358691215515,0
55,0.6946253180503845,0.3053746521472931,1
56,0.4714866280555725,0.5285133719444275,1
57,0.88421630859375,0.11578362435102463,1
58,0.0008354364545084536,0.9991645812988281,0
59,0.06811047345399857,0.9318895936012268,0
60,0.8829769492149353,0.1170230358839035,1
61,0.04077255353331566,0.959227442741394,1
62,0.024146849289536476,0.9758530855178833,0
63,0.9980019927024841,0.001998028252273798,1
64,0.16207930445671082,0.8379207253456116,0
65,0.22572508454322815,0.7742748856544495,1
66,0.6153438687324524,0.3846561014652252,1
67,0.7372749447822571,0.2627250850200653,0
68,0.4666473865509033,0.5333526134490967,1
69,0.08776264637708664,0.9122373461723328,1
70,0.9771162867546082,0.02288372628390789,1
71,0.11510956287384033,0.8848904371261597,0
72,0.061840664595365524,0.9381593465805054,0
73,0.03814275190234184,0.961857259273529,0
74,0.6402273178100586,0.3597727119922638,1
75,0.9775951504707336,0.022404856979846954,1
76,0.9478963613510132,0.05210364609956741,1
77,0.4294891357421875,0.5705108642578125,1
78,0.9309479594230652,0.06905209273099899,1
79,0.7712975740432739,0.2287023812532425,1
80,0.7808108925819397,0.2191891074180603,1
81,0.06972530484199524,0.9302747249603271,0
82,0.01340487040579319,0.9865951538085938,1
83,0.09344446659088135,0.9065555930137634,1
84,0.834766685962677,0.165233314037323,1
85,0.8091636300086975,0.19083641469478607,1
86,0.13909567892551422,0.860904335975647,1
87,0.4772719740867615,0.5227280259132385,0
88,0.7368547916412354,0.26314517855644226,1
89,0.9397464394569397,0.06025361642241478,1
90,0.6828416585922241,0.3171583414077759,1
91,0.40348392724990845,0.5965161323547363,1
92,0.8206110596656799,0.1793888956308365,1
93,0.9343183040618896,0.06568166613578796,1
94,0.051875222474336624,0.9481247663497925,0
95,0.6321566104888916,0.3678434193134308,1
96,0.1705765277147293,0.8294234275817871,1
97,0.2812438905239105,0.7187561392784119,1
98,0.9708871841430664,0.029112806543707848,1
99,0.04363682493567467,0.9563632011413574,0
100,0.7759419679641724,0.22405806183815002,1
101,0.25566843152046204,0.7443315982818604,0
102,0.7463710904121399,0.2536288797855377,1
103,0.015810109674930573,0.9841899275779724,0
104,0.9942534565925598,0.005746482405811548,1
105,0.18317699432373047,0.8168230056762695,0
106,0.8296154141426086,0.17038455605506897,1
107,0.40573006868362427,0.594269871711731,0
108,0.05573791638016701,0.9442620873451233,0
109,0.8745307922363281,0.1254691332578659,1
110,0.4103046953678131,0.5896953344345093,1
111,0.8881933689117432,0.11180657893419266,1
112,0.36931201815605164,0.630687952041626,1
113,0.9827667474746704,0.017233259975910187,1
114,0.0947900339961052,0.9052099585533142,1
115,0.46146419644355774,0.5385357737541199,0
116,0.20999622344970703,0.790003776550293,0
117,0.01905220001935959,0.980947732925415,0
118,0.035419266670942307,0.964580774307251,0
119,0.9233644604682922,0.07663560658693314,1
120,0.8786088228225708,0.12139121443033218,1
